<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:04:00	1.06955	1.06955	1.06955	1.06955	1	0	124
2023.01.02	00:05:00	1.06955	1.06985	1.06923	1.06955	5	0	124
2023.01.02	00:06:00	1.06962	1.06962	1.06962	1.06962	1	0	125
2023.01.02	00:07:00	1.06963	1.06963	1.06963	1.06963	1	0	124
2023.01.02	00:08:00	1.06963	1.06964	1.06962	1.06962	3	0	125
2023.01.02	00:10:00	1.06946	1.06946	1.06918	1.06937	7	0	152
2023.01.02	00:11:00	1.06937	1.06946	1.06937	1.06946	4	0	142
2023.01.02	00:12:00	1.06946	1.06950	1.06946	1.06946	3	0	148
2023.01.02	00:13:00	1.06946	1.07043	1.06936	1.06939	9	0	109
2023.01.02	00:14:00	1.06944	1.06944	1.06868	1.06868	9	0	204
2023.01.02	00:20:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:21:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:22:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:23:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:24:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:25:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:26:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:27:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:28:00	1.06868	1.06868	1.06868	1.06868	1	0	204
2023.01.02	00:29:00	1.06868	1.06868	1.06867	1.06868	3	0	204
2023.01.02	00:30:00	1.06868	1.06868	1.06862	1.06862	4	0	204
2023.01.02	00:35:00	1.06861	1.06878	1.06858	1.06878	4	0	204
2023.01.02	00:37:00	1.06833	1.06833	1.06824	1.06824	2	0	204
2023.01.02	00:38:00	1.06833	1.06848	1.06824	1.06833	9	0	204
2023.01.02	00:39:00	1.06824	1.06833	1.06824	1.06833	4	0	204
2023.01.02	00:40:00	1.06824	1.06833	1.06824	1.06829	9	0	204
2023.01.02	00:41:00	1.06833	1.06833	1.06823	1.06824	6	0	204
2023.01.02	00:42:00	1.06833	1.06833	1.06824	1.06833	7	0	204
2023.01.02	00:43:00	1.06833	1.06848	1.06808	1.06808	119	0	204
2023.01.02	00:44:00	1.06848	1.06848	1.06808	1.06808	266	0	204
2023.01.02	00:45:00	1.06808	1.06880	1.06808	1.06808	153	0	204
2023.01.02	00:46:00	1.06850	1.06893	1.06808	1.06848	141	0	204
2023.01.02	00:47:00	1.06861	1.06955	1.06808	1.06833	262	0	144
2023.01.02	00:48:00	1.06822	1.06942	1.06773	1.06790	162	0	157
2023.01.02	00:49:00	1.06823	1.06855	1.06778	1.06791	5	0	204
2023.01.02	00:50:00	1.06778	1.06875	1.06778	1.06778	89	0	204
2023.01.02	00:51:00	1.06870	1.06893	1.06778	1.06794	48	0	204
2023.01.02	00:52:00	1.06795	1.06923	1.06792	1.06807	11	0	204
2023.01.02	00:53:00	1.06855	1.06901	1.06806	1.06806	16	0	204
2023.01.02	00:54:00	1.06807	1.06807	1.06803	1.06803	6	0	204
2023.01.02	00:55:00	1.06806	1.06885	1.06806	1.06885	5	0	204
2023.01.02	00:56:00	1.06886	1.06916	1.06803	1.06803	9	0	204
2023.01.02	00:57:00	1.06808	1.06843	1.06803	1.06843	3	0	204
2023.01.02	00:58:00	1.06883	1.06883	1.06806	1.06806	2	0	204
2023.01.02	00:59:00	1.06803	1.06807	1.06803	1.06806	11	0	204
2023.01.02	01:00:00	1.06803	1.06806	1.06803	1.06803	5	0	204
2023.01.02	01:01:00	1.06806	1.06806	1.06803	1.06803	8	0	204
2023.01.02	01:02:00	1.06806	1.06806	1.06803	1.06806	5	0	204
2023.01.02	01:03:00	1.06803	1.06810	1.06803	1.06806	13	0	204
2023.01.02	01:04:00	1.06803	1.06806	1.06798	1.06801	9	0	204
2023.01.02	01:05:00	1.06802	1.06802	1.06798	1.06802	9	0	204
2023.01.02	01:06:00	1.06798	1.06807	1.06798	1.06806	11	0	204
2023.01.02	01:07:00	1.06807	1.06807	1.06803	1.06803	9	0	204
2023.01.02	01:08:00	1.06803	1.06807	1.06803	1.06803	9	0	204
2023.01.02	01:09:00	1.06807	1.06807	1.06803	1.06803	8	0	204
2023.01.02	01:10:00	1.06806	1.06806	1.06803	1.06803	2	0	204
2023.01.02	01:11:00	1.06806	1.06806	1.06803	1.06803	8	0	204
2023.01.02	01:12:00	1.06806	1.06806	1.06803	1.06803	6	0	204
2023.01.02	01:13:00	1.06806	1.06807	1.06803	1.06807	5	0	204
2023.01.02	01:14:00	1.06803	1.06808	1.06803	1.06803	9	0	204
2023.01.02	01:15:00	1.06807	1.06807	1.06803	1.06803	2	0	204
2023.01.02	01:16:00	1.06807	1.06807	1.06803	1.06803	10	0	204
2023.01.02	01:17:00	1.06803	1.06803	1.06803	1.06803	1	0	204
2023.01.02	01:18:00	1.06803	1.06803	1.06803	1.06803	1	0	204
2023.01.02	01:19:00	1.06803	1.06898	1.06803	1.06898	2	0	204
2023.01.02	01:20:00	1.06898	1.06898	1.06898	1.06898	1	0	204
